CMPL	1	31657	6aa1ccf9ecc8c60d
id	category	name	lat	lon	address	description
lal-bahadur-shastri	TOURIST	Lal Bahadur Shastri	19.000126	72.814150	Worli, Mumbai 400018	Memorial in Worli (400018).
statue-of-saint-sebastian	TOURIST	Statue of Saint Sebastian	19.051094	72.825701	Bandra West, Mumbai 400050	Memorial in Bandra West (400050).
charkop-market	TOURIST	Charkop Market	19.215569	72.828621	Kandivali West, Mumbai 400067	Market in Kandivali West (400067).
loop-gallery	TOURIST	Loop Gallery	19.103719	72.851007	Vile Parle East, Mumbai 400057	Viewpoint in Vile Parle East (400057).
patidar-co-op-housing-society	TOURIST	Patidar Co Op Housing Society	19.175605	72.841413	Malad West, Mumbai 400064	Viewpoint in Malad West (400064).
night-market	TOURIST	Night Market	18.947964	72.836300	Mumbai GPO, Mumbai 400001	Market in Mumbai GPO (400001).
orlem-market	TOURIST	Orlem Market	19.195217	72.838586	Malad West, Mumbai 400064	Market in Malad West (400064).
raj-mudra-statue	TOURIST	Raj Mudra Statue	19.227762	72.806843	Borivali, Mumbai 400091	Monument in Borivali (400091).
budhha-statue	TOURIST	Budhha Statue	19.227820	72.805126	Borivali, Mumbai 400091	Monument in Borivali (400091).
martha-mandal-mulund-e	TOURIST	Martha Mandal Mulund (E)	19.166108	72.960185	Mulund East, Mumbai 400081	Memorial in Mulund East (400081).
legendary-new-india-monument	TOURIST	Legendary New India Monument	19.114788	72.838832	Andheri, Mumbai 400058	Monument in Andheri (400058).
vikrant	TOURIST	Vikrant	18.926604	72.833668	Mumbai GPO, Mumbai 400001	Monument in Mumbai GPO (400001).
mahila-fish-market-mahim	TOURIST	Mahila Fish Market, Mahim	19.040402	72.843983	Mahim, Mumbai 400016	Market in Mahim (400016).
sabji-market	TOURIST	Sabji Market	19.031751	72.860364	Sion, Mumbai 400022	Market in Sion (400022).
mount-blanc-view-gallery	TOURIST	Mount Blanc View Gallery	18.963718	72.803886	Cumballa Hill, Mumbai 400026	Viewpoint in Cumballa Hill (400026).
fish-market-5	TOURIST	Fish Market	19.106677	72.914071	Vikhroli, Mumbai 400079	Market in Vikhroli (400079).
hemant-manjrekar-market	TOURIST	Hemant Manjrekar Market	19.036650	72.865145	Amtop Hill, Mumbai 400037	Market in Amtop Hill (400037).
khindipada-viewpoint	TOURIST	Khindipada Viewpoint	19.160565	72.928969	Bhandup West, Mumbai 400078	Viewpoint in Bhandup West (400078).
dr-b-r-ambedkar	TOURIST	Dr. B.R. Ambedkar	19.132944	72.915306	IIT Powai, Mumbai 400076	Monument in IIT Powai (400076).
sameer-hill	TOURIST	Sameer Hill	19.140891	72.918113	Bhandup West, Mumbai 400078	Viewpoint in Bhandup West (400078).
nariman-point-2	TOURIST	Nariman Point	18.923530	72.821517	Nariman Point, Mumbai 400021	Viewpoint in Nariman Point (400021).
good-view-of-mumbai	TOURIST	Good view of Mumbai	18.933700	72.823444	Marine Lines, Mumbai 400020	Viewpoint in Marine Lines (400020).
anand-dighe-thane-city-entance	TOURIST	Anand Dighe Thane City Entance	19.176147	72.968389	Mulund East, Mumbai 400081	Memorial in Mulund East (400081).
